Date,MFI_14
2014-09-17,
2014-09-18,
2014-09-19,
2014-09-20,
2014-09-21,
2014-09-22,
2014-09-23,
2014-09-24,
2014-09-25,
2014-09-26,
2014-09-27,
2014-09-28,
2014-09-29,
2014-09-30,
2014-10-01,47.723240220004556
2014-10-02,49.685391266925386
2014-10-03,50.93848222980577
2014-10-04,41.15066291169735
2014-10-05,37.43647736503545
2014-10-06,42.705205302606124
2014-10-07,41.84711069180668
2014-10-08,43.590114983700516
2014-10-09,53.954810948860924
2014-10-10,52.20574328800881
2014-10-11,52.49208400891314
2014-10-12,56.12391020636716
2014-10-13,62.02459689316752
2014-10-14,62.391929531378786
2014-10-15,57.82600618161109
2014-10-16,57.26364214773011
2014-10-17,58.87999452888876
2014-10-18,64.40189770940934
2014-10-19,74.31078975393505
2014-10-20,67.27568141412415
2014-10-21,64.90517900719378
2014-10-22,57.86337411021242
2014-10-23,41.72207367538262
2014-10-24,45.83268011001274
2014-10-25,45.17553191961152
2014-10-26,43.824206824804875
2014-10-27,38.47879549189345
2014-10-28,28.94215237033694
2014-10-29,30.335806143643364
2014-10-30,43.66981202781867
2014-10-31,44.18595380314906
2014-11-01,37.900471324652834
2014-11-02,34.72353112218162
2014-11-03,41.224981063131125
2014-11-04,40.967179355417244
2014-11-05,48.35710213406344
2014-11-06,59.08297073827799
2014-11-07,58.90378024378715
2014-11-08,61.68778981519487
2014-11-09,64.02167324257006
2014-11-10,66.85372325846282
2014-11-11,68.01623583337673
2014-11-12,78.36637875463465
2014-11-13,81.18258568483317
2014-11-14,76.097692166633
2014-11-15,75.7505042794031
2014-11-16,78.37046833322657
2014-11-17,80.28989283023627
2014-11-18,72.67714999862595
2014-11-19,72.77371025293392
2014-11-20,66.94182774608089
2014-11-21,64.86619769739397
2014-11-22,67.3685151054339
2014-11-23,66.68575909777641
2014-11-24,66.79685090390176
2014-11-25,67.63514206372348
2014-11-26,60.11461720243816
2014-11-27,52.85956370918535
2014-11-28,61.65821188150651
2014-11-29,66.75837023513026
2014-11-30,63.438093994688636
2014-12-01,59.287548086870615
2014-12-02,68.80147175995207
2014-12-03,62.74017322580854
2014-12-04,65.3906701581352
2014-12-05,75.68876343301007
2014-12-06,74.86241368251481
2014-12-07,73.89119032238708
2014-12-08,63.0030378936619
2014-12-09,48.80113538484597
2014-12-10,49.55600854541415
2014-12-11,54.43859819681285
2014-12-12,52.99455204273836
2014-12-13,46.84137069250128
2014-12-14,51.740500459744155
2014-12-15,45.32061361693383
2014-12-16,37.04731956846677
2014-12-17,34.26761048782881
2014-12-18,31.950424557062583
2014-12-19,33.144826502304014
2014-12-20,35.734335773548445
2014-12-21,32.713701158754574
2014-12-22,39.24353824950494
2014-12-23,46.8465067999774
2014-12-24,47.20875967996787
2014-12-25,39.345552037117265
2014-12-26,38.93834670908871
2014-12-27,38.62236330629684
2014-12-28,34.2995300667041
2014-12-29,35.085243972288154
2014-12-30,37.68381742775836
2014-12-31,47.01808385227547
2015-01-01,53.66810057214063
2015-01-02,46.14025696169916
2015-01-03,33.95738591599494
2015-01-04,29.491412935004696
2015-01-05,33.52006122896225
2015-01-06,34.35234297938969
2015-01-07,41.97581857372304
2015-01-08,40.74106110392493
2015-01-09,40.7682537287809
2015-01-10,41.04457970755392
2015-01-11,40.47296829003217
2015-01-12,39.93225161663621
2015-01-13,34.70354423971596
2015-01-14,26.690633618911747
2015-01-15,36.595396604876
2015-01-16,40.99785421807069
2015-01-17,42.5309348048296
2015-01-18,50.640137303474035
2015-01-19,47.200778294118216
2015-01-20,42.043191707341244
2015-01-21,41.72468939459847
2015-01-22,47.75407604679411
2015-01-23,42.9590818476521
2015-01-24,47.44737168747548
2015-01-25,53.058085459139704
2015-01-26,64.54016057568019
2015-01-27,67.15380332211697
2015-01-28,71.18848736914624
2015-01-29,62.903963501734964
2015-01-30,62.31958402524926
2015-01-31,62.08580846668966
2015-02-01,62.166479464432015
2015-02-02,63.14039350013913
2015-02-03,60.972441273206435
2015-02-04,56.0885335685795
2015-02-05,51.10513461141557
2015-02-06,51.202268332961765
2015-02-07,50.7709331249583
2015-02-08,45.66154387500584
2015-02-09,25.8403827669467
2015-02-10,27.897143527950064
2015-02-11,34.908095410251555
2015-02-12,41.06260493542469
2015-02-13,43.787965132666514
2015-02-14,54.25671887828073
2015-02-15,43.389401074840656
