time,PriceUSD,CapMrktCurUSD,NVTAdj,VelCur1yr,AdrActCnt,TxCnt,TxTfrValAdjUSD,SplyCur,HashRate
2021-02-01 00:00:00+00:00,1369.95,156856948666.19,25.95,15.57,578791.0,1300451.0,6044257720.25,114497884.53,346.6
2021-02-02 00:00:00+00:00,1524.17,174534674320.14,16.32,15.61,607597.0,1302891.0,10695129171.4,114511422.28,346.37
2021-02-03 00:00:00+00:00,1659.52,190056477126.19,20.54,15.73,632493.0,1314906.0,9251260642.08,114524965.59,342.33
2021-02-04 00:00:00+00:00,1608.4,184223563748.09,9.56,15.88,637964.0,1309863.0,19265110383.4,114538577.09,350.27
2021-02-05 00:00:00+00:00,1720.48,197084267481.0,20.11,15.92,610442.0,1316904.0,9800724091.67,114552010.59,351.1
2021-02-06 00:00:00+00:00,1683.71,192894884443.12,19.62,15.97,632419.0,1227828.0,9832849596.82,114565535.16,353.88
2021-02-07 00:00:00+00:00,1616.04,185164848137.89,24.85,16.01,619186.0,1230638.0,7451769047.69,114579183.16,365.98
2021-02-08 00:00:00+00:00,1743.54,199797411767.73,13.65,16.08,629676.0,1275739.0,14633584118.02,114592646.41,363.48
2021-02-09 00:00:00+00:00,1770.83,202948336894.37,22.66,16.12,604814.0,1327544.0,8956125882.84,114606152.84,361.15
2021-02-10 00:00:00+00:00,1748.21,200379577036.26,22.51,16.16,616673.0,1320357.0,8902695155.6,114619736.78,363.3
2021-02-11 00:00:00+00:00,1785.58,204687225103.98,27.93,16.18,613894.0,1270521.0,7328012912.73,114633268.16,369.1
2021-02-12 00:00:00+00:00,1846.45,211690130587.82,22.02,16.22,596108.0,1290300.0,9614638366.08,114646835.28,377.54
2021-02-13 00:00:00+00:00,1819.41,208614261139.09,33.32,16.24,565120.0,1252364.0,6261745571.39,114660213.91,370.92
2021-02-14 00:00:00+00:00,1811.57,207739316639.37,29.64,16.27,556676.0,1206665.0,7008102273.44,114673845.03,381.13
2021-02-15 00:00:00+00:00,1787.53,205007146439.66,25.3,16.31,572155.0,1210500.0,8101964171.94,114687347.97,380.11
2021-02-16 00:00:00+00:00,1780.62,204238551212.89,19.19,16.36,570877.0,1217916.0,10641421599.37,114700813.84,380.64
2021-02-17 00:00:00+00:00,1845.24,211675637555.25,24.06,16.39,585027.0,1258503.0,8796837395.97,114714424.28,386.37
2021-02-18 00:00:00+00:00,1932.41,221701456777.94,19.99,16.43,602485.0,1298425.0,11088865618.8,114727869.16,377.57
2021-02-19 00:00:00+00:00,1961.02,225010994525.33,24.86,16.47,629683.0,1323618.0,9052216096.55,114741564.22,391.0
2021-02-20 00:00:00+00:00,1912.8,219503785857.72,22.53,16.51,644880.0,1337507.0,9743969851.97,114755068.47,385.64
2021-02-21 00:00:00+00:00,1933.88,221949106743.11,34.01,16.54,605781.0,1233518.0,6526169949.77,114768581.91,376.44
2021-02-22 00:00:00+00:00,1771.21,203303010201.51,15.32,16.63,623584.0,1312178.0,13271092340.41,114782081.78,393.79
2021-02-23 00:00:00+00:00,1563.05,179430822924.55,10.4,16.75,629862.0,1302882.0,17255385546.18,114795640.09,389.52
2021-02-24 00:00:00+00:00,1616.56,185596249566.61,19.28,16.8,626252.0,1285208.0,9625968969.55,114809106.41,397.81
2021-02-25 00:00:00+00:00,1491.46,171253830546.57,22.21,16.83,618961.0,1232758.0,7712338065.59,114822648.72,396.05
2021-02-26 00:00:00+00:00,1442.3,165628679949.22,17.78,16.88,606678.0,1236241.0,9317378365.98,114836248.59,398.27
2021-02-27 00:00:00+00:00,1454.03,166995249129.27,29.86,16.91,568481.0,1202432.0,5592950934.91,114849762.41,400.64
2021-02-28 00:00:00+00:00,1425.39,163724417567.51,17.54,16.98,582699.0,1179859.0,9336045655.47,114863225.03,399.79
2021-03-01 00:00:00+00:00,1563.24,179579378092.04,21.1,17.04,580615.0,1185925.0,8510612789.79,114876691.91,402.19
2021-03-02 00:00:00+00:00,1489.88,171172699837.77,24.05,17.09,597128.0,1240182.0,7117712864.39,114890344.78,404.51
2021-03-03 00:00:00+00:00,1584.07,182015174257.58,30.17,17.12,560868.0,1235048.0,6033303732.43,114903709.03,390.22
2021-03-04 00:00:00+00:00,1538.02,176745451097.51,29.97,17.15,599915.0,1234903.0,5897742987.67,114917317.09,393.35
2021-03-05 00:00:00+00:00,1530.84,175940831397.18,29.63,17.18,524802.0,1208640.0,5937800900.13,114930886.22,406.79
2021-03-06 00:00:00+00:00,1659.84,190789331553.24,32.61,17.2,541924.0,1160519.0,5850875864.68,114944525.78,419.19
2021-03-07 00:00:00+00:00,1719.16,197631272542.88,18.5,17.26,501185.0,1180104.0,10682861358.59,114958002.34,413.72
2021-03-08 00:00:00+00:00,1826.13,209952415372.89,25.19,17.29,535335.0,1216417.0,8333236834.62,114971543.53,414.7
2021-03-09 00:00:00+00:00,1862.03,214105373575.42,27.35,17.3,576354.0,1275347.0,7828511125.72,114985005.78,408.2
